matchId,matchday,homeTeamId,awayTeamId,homeScore,awayScore,played
435943,1,1132,281,0.0,3.0,True
435944,1,11,703,2.0,1.0,True
435945,1,989,379,1.0,1.0,True
435946,1,1237,1031,4.0,1.0,True
435947,1,29,931,0.0,1.0,True
435948,1,350,873,0.0,1.0,True
435949,1,762,405,5.0,1.0,True
435950,1,1148,148,2.0,2.0,True
435951,1,631,31,1.0,1.0,True
435952,1,985,543,1.0,0.0,True
435959,2,703,350,2.0,1.0,True
435955,2,931,1148,0.0,3.0,True
435956,2,31,989,3.0,1.0,True
435962,2,543,1237,1.0,4.0,True
435960,2,148,985,2.0,0.0,True
435958,2,281,762,1.0,0.0,True
435953,2,405,29,4.0,0.0,True
435961,2,379,631,3.0,1.0,True
435954,2,873,11,0.0,1.0,True
435968,3,631,1031,3.0,0.0,True
435963,3,989,148,0.0,2.0,True
435969,3,29,543,0.0,1.0,True
435970,3,985,703,3.0,2.0,True
435964,3,11,931,2.0,2.0,True
435965,3,1148,873,1.0,1.0,True
435966,3,1237,379,1.0,3.0,True
435972,3,350,281,1.0,2.0,True
435967,3,1132,405,1.0,3.0,True
435971,3,762,31,1.0,2.0,True
435980,4,1031,379,1.0,2.0,True
435982,4,350,29,2.0,2.0,True
435974,4,1148,989,2.0,2.0,True
435976,4,1132,148,2.0,5.0,True
435977,4,631,703,0.0,1.0,True
435981,4,281,931,5.0,1.0,True
435975,4,1237,762,3.0,1.0,True
435978,4,873,543,3.0,2.0,True
435979,4,31,405,3.0,0.0,True
435973,4,11,985,3.0,1.0,True
435992,5,543,31,1.0,3.0,True
435984,5,405,873,3.0,1.0,True
435986,5,931,1031,1.0,0.0,True
435987,5,985,1237,1.0,3.0,True
435990,5,148,350,2.0,1.0,True
435991,5,379,281,1.0,3.0,True
435988,5,762,1148,1.0,0.0,True
435983,5,989,631,0.0,0.0,True
435985,5,29,11,0.0,1.0,True
435989,5,703,1132,1.0,1.0,True
435998,6,873,931,0.0,0.0,True
436000,6,1031,543,1.0,1.0,True
436001,6,281,703,2.0,0.0,True
435994,6,1148,29,1.0,3.0,True
435996,6,1132,985,0.0,1.0,True
435993,6,11,148,2.0,2.0,True
435995,6,1237,989,3.0,1.0,True
435997,6,631,405,0.0,1.0,True
435999,6,31,379,3.0,1.0,True
436002,6,350,762,0.0,8.0,True
436004,7,405,1237,6.0,1.0,True
436003,7,989,11,0.0,4.0,True
436005,7,29,1031,1.0,2.0,True
436007,7,985,873,0.0,1.0,True
436008,7,762,1132,2.0,0.0,True
436011,7,379,350,2.0,0.0,True
436012,7,543,281,2.0,1.0,True
436010,7,148,31,2.0,1.0,True
436009,7,703,1148,1.0,1.0,True
436006,7,931,631,0.0,2.0,True
435957,2,1031,1132,1.0,2.0,True
436019,8,1031,148,0.0,1.0,True
436015,8,1132,631,1.0,4.0,True
436017,8,29,989,3.0,0.0,True
436018,8,931,350,3.0,1.0,True
436020,8,985,1148,2.0,1.0,True
436016,8,873,703,0.0,0.0,True
436014,8,1237,31,2.0,2.0,True
436021,8,379,762,2.0,2.0,True
436022,8,543,405,1.0,1.0,True
436013,8,11,281,1.0,0.0,True
436027,9,31,29,2.0,0.0,True
436023,9,989,543,1.0,2.0,True
436025,9,1148,1132,3.0,0.0,True
436028,9,281,1237,2.0,1.0,True
436029,9,762,873,4.0,0.0,True
436030,9,703,1031,2.0,2.0,True
436026,9,631,11,2.0,2.0,True
436031,9,350,985,1.0,2.0,True
436024,9,405,379,4.0,1.0,True
436032,9,148,931,2.0,0.0,True
436038,10,873,148,1.0,2.0,True
436037,10,631,1148,0.0,2.0,True
436033,10,989,1132,2.0,1.0,True
436034,10,11,350,5.0,0.0,True
436042,10,543,762,2.0,2.0,True
436041,10,379,29,0.0,1.0,True
436035,10,405,1031,3.0,1.0,True
436036,10,1237,931,1.0,1.0,True
436039,10,31,703,3.0,0.0,True
436040,10,985,281,0.0,3.0,True
436046,11,931,985,0.0,1.0,True
436043,11,1148,379,3.0,2.0,True
436044,11,1132,873,0.0,2.0,True
436045,11,29,1237,1.0,1.0,True
436048,11,281,989,6.0,1.0,True
436051,11,350,543,2.0,1.0,True
436049,11,762,11,1.0,0.0,True
436050,11,703,405,2.0,0.0,True
436047,11,1031,31,1.0,1.0,True
436052,11,148,631,1.0,4.0,True
436062,12,543,148,2.0,1.0,True
436054,12,11,1132,3.0,1.0,True
436058,12,873,29,2.0,3.0,True
436060,12,985,1031,1.0,0.0,True
436053,12,989,762,2.0,0.0,True
436055,12,405,931,3.0,1.0,True
436056,12,1237,350,1.0,1.0,True
436059,12,31,1148,3.0,0.0,True
436061,12,379,703,3.0,2.0,True
436057,12,631,281,4.0,4.0,True
436068,13,281,31,1.0,1.0,True
436064,13,1132,379,1.0,2.0,True
436067,13,1031,873,2.0,1.0,True
436069,13,762,631,4.0,1.0,True
436070,13,703,1237,2.0,3.0,True
436071,13,350,989,1.0,3.0,True
436063,13,1148,11,0.0,1.0,True
436072,13,148,405,,,False
436065,13,29,985,,,False
436066,13,931,543,,,False
436074,14,11,543,,,False
436075,14,1148,1031,,,False
436076,14,1132,350,,,False
436081,14,703,29,,,False
436080,14,762,985,,,False
436073,14,989,405,,,False
436077,14,631,1237,,,False
436078,14,31,931,,,False
436082,14,379,873,,,False
436079,14,281,148,,,False
436090,15,543,1132,,,False
436087,15,1031,11,,,False
436084,15,1237,1148,,,False
436086,15,931,703,,,False
436088,15,350,31,,,False
436091,15,873,989,,,False
436083,15,405,281,,,False
436092,15,985,631,,,False
436085,15,29,762,,,False
436089,15,148,379,,,False
436095,16,873,31,,,False
436094,16,1237,1132,,,False
436099,16,985,989,,,False
436100,16,350,1148,,,False
436102,16,543,703,,,False
436093,16,405,11,,,False
436096,16,29,631,,,False
436097,16,931,379,,,False
436098,16,1031,281,,,False
436101,16,148,762,,,False
436111,17,703,148,,,False
436103,17,989,1031,,,False
436107,17,631,350,,,False
436109,17,281,873,,,False
436110,17,762,931,,,False
436106,17,1132,29,,,False
436104,17,11,1237,,,False
436105,17,1148,405,,,False
436112,17,379,543,,,False
436108,17,31,985,,,False
436114,18,873,1237,,,False
436113,18,405,350,,,False
436118,18,281,1148,,,False
436121,18,379,985,,,False
436115,18,931,1132,,,False
436117,18,1031,762,,,False
436119,18,703,989,,,False
436120,18,148,29,,,False
436116,18,31,11,,,False
436122,18,543,631,,,False
436131,19,762,703,,,False
436123,19,989,931,,,False
436132,19,350,1031,,,False
436127,19,1132,31,,,False
436130,19,985,405,,,False
436125,19,1148,543,,,False
436128,19,631,873,,,False
436129,19,29,281,,,False
436126,19,1237,148,,,False
436124,19,11,379,,,False
436137,20,1031,631,,,False
436133,20,405,1132,,,False
436134,20,873,1148,,,False
436138,20,281,350,,,False
436142,20,543,29,,,False
436139,20,703,985,,,False
436135,20,931,11,,,False
436140,20,148,989,,,False
436136,20,31,762,,,False
436141,20,379,1237,,,False
436148,21,631,931,,,False
436151,21,762,281,,,False
436149,21,29,405,,,False
436150,21,985,148,,,False
436147,21,1132,1031,,,False
436144,21,11,873,,,False
436145,21,1148,703,,,False
436152,21,350,379,,,False
436143,21,989,31,,,False
436146,21,1237,543,,,False
436153,22,703,11,,,False
436154,22,379,989,,,False
436155,22,1031,1237,,,False
436156,22,931,29,,,False
436158,22,405,762,,,False
436159,22,148,1148,,,False
436160,22,543,985,,,False
436157,22,873,350,,,False
436161,22,281,1132,,,False
436162,22,31,631,,,False
436163,23,989,703,,,False
